date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:44:26	205847/205847	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2232417-612a949ab7ce6%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/Linearicons-Free.svg?w118d	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/Linearicons-Free54e9.svg	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/linearicons.css?ver=1.0.8)
09:44:26	156260/156260	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2226264-612a949ab1f26%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-brands-400.eot	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-brands-400.eot	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/line-awesome.min.css?ver=1.0.8)
09:44:27	156260/156260	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2226264-612a949ab1f26%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-brands-400.eot?	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-brands-400d41d.eot	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/line-awesome.min.css?ver=1.0.8)
09:44:27	84772/84772	---M--	200	added ('OK')	font/woff2	etag:%2214b24-612a949ab424e%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-brands-400.woff2	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-brands-400.woff2	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/line-awesome.min.css?ver=1.0.8)
09:44:27	98673/98673	---M--	200	added ('OK')	font/woff	etag:%2218171-612a949ab424e%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-brands-400.woff	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-brands-400.woff	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/line-awesome.min.css?ver=1.0.8)
09:44:27	156072/156072	---M--	200	added ('OK')	font/ttf	etag:%22261a8-612a949ab3e66%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-brands-400.ttf	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-brands-400.ttf	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/line-awesome.min.css?ver=1.0.8)
09:44:27	33916/33916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22847c-612a949ab424e%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-regular-400.eot	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-regular-400.eot	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/line-awesome.min.css?ver=1.0.8)
09:44:27	927335/927335	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e2667-612a949ab3696%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-brands-400.svg	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-brands-400.svg	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/line-awesome.min.css?ver=1.0.8)
09:44:28	33916/33916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22847c-612a949ab424e%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-regular-400.eot?	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-regular-400d41d.eot	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/line-awesome.min.css?ver=1.0.8)
09:44:28	12900/12900	---M--	200	added ('OK')	font/woff2	etag:%223264-612a949ab4636%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-regular-400.woff2	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-regular-400.woff2	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/line-awesome.min.css?ver=1.0.8)
09:44:28	15489/15489	---M--	200	added ('OK')	font/woff	etag:%223c81-612a949ab4636%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-regular-400.woff	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-regular-400.woff	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/line-awesome.min.css?ver=1.0.8)
09:44:28	33724/33724	---M--	200	added ('OK')	font/ttf	etag:%2283bc-612a949ab4636%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-regular-400.ttf	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-regular-400.ttf	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/line-awesome.min.css?ver=1.0.8)
09:44:29	113535/113535	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221bb7f-612a949ab4636%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-regular-400.svg	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-regular-400.svg	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/line-awesome.min.css?ver=1.0.8)
09:44:29	226312/226312	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2237408-612a949ab4e06%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-solid-900.eot	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-solid-900.eot	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/line-awesome.min.css?ver=1.0.8)
09:44:30	226312/226312	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2237408-612a949ab4e06%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-solid-900.eot?	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-solid-900d41d.eot	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/line-awesome.min.css?ver=1.0.8)
09:44:30	125421/125421	---M--	200	added ('OK')	font/woff	etag:%221e9ed-612a949ab7516%22	https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-solid-900.woff	D:/cnergy%20website/theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/fonts/la-solid-900.woff	(from https://theme.creativemox.com/digimax/wp-content/plugins/skyboot-custom-icons-for-elementor/assets/css/line-awesome.min.css?ver=1.0.8)
